NAICS_TITLE,2014 TOT_EMP,2014 A_MEAN,2014 MEAN_PRSE,2014 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting","409,720",26920,0.8,20180
"Mining, Quarrying, and Oil and Gas Extraction","824,260",62360,1.1,49000
Utilities,"547,980",70980,0.7,68190
Construction,"6,094,090",50120,0.2,42340
Manufacturing,"12,100,740",48610,0.4,38150
Wholesale Trade,"5,780,070",53710,0.3,40120
Retail Trade,"15,472,510",30560,0.2,23270
Transportation and Warehousing,"5,202,640",45760,0.4,40530
Information,"2,735,590",67700,1.5,55770
Finance and Insurance,"5,618,720",65100,0.4,47550
Real Estate and Rental and Leasing,"2,017,970",43630,0.4,33870
"Professional, Scientific, and Technical Services","8,231,540",75570,0.2,61250
Management of Companies and Enterprises,"2,206,620",77470,0.6,62210
Administrative and Support and Waste Management and Remediation Services,"8,627,320",35840,0.3,27340
Educational Services,"12,758,610",51370,0.4,44740
Health Care and Social Assistance,"18,341,690",49770,0.2,36160
"Arts, Entertainment, and Recreation","2,198,590",34500,0.5,24300
Accommodation and Food Services,"12,548,660",23530,0.2,19330
Other Services (except Public Administration),"3,937,990",38170,0.3,29100
"Federal, State, and Local Government (excluding state and local schools and hospitals)","9,472,980",56470,0.2,48850
