NAICS_TITLE,2016 TOT_EMP,2016 A_MEAN,2016 MEAN_PRSE,2016 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting","416,600",29800,0.7,23630
"Mining, Quarrying, and Oil and Gas Extraction","649,130",65900,0.9,52270
Utilities,"549,960",75620,0.7,72290
Construction,"6,687,380",52630,0.2,44630
Manufacturing,"12,337,520",50720,0.5,39530
Wholesale Trade,"5,840,730",56190,0.3,42070
Retail Trade,"15,982,520",32120,0.2,24260
Transportation and Warehousing,"5,606,180",46940,0.5,40350
Information,"2,762,090",72510,1.1,59390
Finance and Insurance,"5,775,240",69680,0.5,50780
Real Estate and Rental and Leasing,"2,110,600",46590,0.4,35860
"Professional, Scientific, and Technical Services","8,739,110",79700,0.3,64100
Management of Companies and Enterprises,"2,302,590",81840,0.6,65380
Administrative and Support and Waste Management and Remediation Services,"9,070,140",37970,0.3,28870
Educational Services,"12,982,910",54140,0.5,46710
Health Care and Social Assistance,"19,257,910",52270,0.2,37680
"Arts, Entertainment, and Recreation","2,322,400",36260,0.4,25570
Accommodation and Food Services,"13,338,870",25250,0.2,20820
Other Services (except Public Administration),"4,078,800",40370,0.3,30560
"Federal, State, and Local Government (excluding state and local schools and hospitals)","9,589,350",58780,0.3,50670
