NAICS_TITLE,2015 TOT_EMP,2015 A_MEAN,2015 MEAN_PRSE,2015 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting","412,150",28280,0.8,21890
"Mining, Quarrying, and Oil and Gas Extraction","811,320",63310,0.9,49570
Utilities,"553,890",73100,0.6,70020
Construction,"6,393,080",51300,0.2,43340
Manufacturing,"12,303,190",49550,0.5,38710
Wholesale Trade,"5,838,140",54830,0.3,40980
Retail Trade,"15,750,910",31280,0.2,23670
Transportation and Warehousing,"5,404,270",46180,0.4,40160
Information,"2,749,040",70440,1.6,57860
Finance and Insurance,"5,665,510",67390,0.4,49090
Real Estate and Rental and Leasing,"2,066,420",45030,0.4,34810
"Professional, Scientific, and Technical Services","8,483,010",77570,0.3,62640
Management of Companies and Enterprises,"2,259,540",79600,0.6,63630
Administrative and Support and Waste Management and Remediation Services,"8,882,420",36660,0.3,27930
Educational Services,"12,861,660",52360,0.4,45530
Health Care and Social Assistance,"18,738,850",50970,0.2,36850
"Arts, Entertainment, and Recreation","2,243,250",35510,0.5,24940
Accommodation and Food Services,"12,922,560",24340,0.2,19740
Other Services (except Public Administration),"4,010,090",39160,0.3,29730
"Federal, State, and Local Government (excluding state and local schools and hospitals)","9,547,400",57350,0.3,49560
