NAICS_TITLE,2017 TOT_EMP,2017 A_MEAN,2017 MEAN_PRSE,2017 A_MEDIAN
"Agriculture, Forestry, Fishing and Hunting","424,020",30960,0.7,24480
"Mining, Quarrying, and Oil and Gas Extraction","591,130",64370,0.8,51670
Utilities,"552,270",77350,0.6,73930
Construction,"6,903,100",53830,0.2,45820
Manufacturing,"12,299,600",51740,0.5,40270
Wholesale Trade,"5,845,580",56970,0.3,42910
Retail Trade,"16,009,120",32930,0.2,24880
Transportation and Warehousing,"5,792,400",47720,0.5,40950
Information,"2,800,500",74460,1.1,61380
Finance and Insurance,"5,857,390",71440,0.5,52200
Real Estate and Rental and Leasing,"2,147,230",47760,0.4,36830
"Professional, Scientific, and Technical Services","8,850,270",81340,0.3,65370
Management of Companies and Enterprises,"2,326,030",83150,0.6,66680
Administrative and Support and Waste Management and Remediation Services,"9,108,260",38930,0.3,29710
Educational Services,"13,042,580",55210,0.4,47600
Health Care and Social Assistance,"20,208,050",52750,0.2,37780
"Arts, Entertainment, and Recreation","2,370,160",36870,0.4,26340
Accommodation and Food Services,"13,617,690",26020,0.2,21990
Other Services (except Public Administration),"4,141,910",41420,0.3,31260
"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)","9,661,980",60060,0.3,51700
